City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nanortalik,GL,2022-01-29 02:19:15,60.1432,-45.2371,27.18,81,100,15.39
68,Barrow,US,2022-01-29 02:21:56,71.2906,-156.7887,-7.58,71,100,13.8
69,Lagoa,PT,2022-01-29 02:21:07,39.05,-27.9833,57.88,58,17,13.24
70,Albany,US,2022-01-29 02:21:56,42.6001,-73.9662,21.61,73,100,3.0
71,Dwarka,IN,2022-01-29 02:21:56,22.2394,68.9678,66.09,52,0,9.19
72,Georgiyevka,KZ,2022-01-29 02:21:57,43.0369,74.7114,30.24,80,40,11.18
73,Narsaq,GL,2022-01-29 02:21:57,60.9167,-46.05,19.62,94,100,4.09
74,Sonamukhi,IN,2022-01-29 02:21:57,23.3,87.4167,57.6,62,2,6.13
75,Maragogi,BR,2022-01-29 02:21:58,-9.0122,-35.2225,78.4,79,100,9.78
76,Hithadhoo,MV,2022-01-29 02:21:58,-0.6,73.0833,80.46,67,35,8.46
77,Arraial Do Cabo,BR,2022-01-29 02:21:58,-22.9661,-42.0278,73.36,100,40,0.0
78,Rawson,AR,2022-01-29 02:21:59,-43.3002,-65.1023,67.78,79,41,13.82
79,Thinadhoo,MV,2022-01-29 02:21:59,0.5333,72.9333,80.29,66,73,9.19
80,Castro,BR,2022-01-29 02:20:58,-24.7911,-50.0119,58.89,99,100,9.71
81,Severodvinsk,RU,2022-01-29 02:21:59,64.5635,39.8302,14.11,98,99,5.66
82,Pangnirtung,CA,2022-01-29 02:22:00,66.1451,-65.7125,-10.55,100,100,2.46
83,Yerbogachen,RU,2022-01-29 02:22:00,61.2767,108.0108,-22.2,100,98,4.23
84,Vila Velha,BR,2022-01-29 02:22:00,-20.3297,-40.2925,78.94,81,20,4.0
85,Torbay,CA,2022-01-29 02:22:01,47.6666,-52.7314,29.26,86,100,11.5
86,Celestun,MX,2022-01-29 02:22:01,20.8667,-90.4,72.84,77,24,20.51
87,Ust-Kulom,RU,2022-01-29 02:22:01,61.6864,53.6902,3.25,97,100,5.12
88,Ouegoa,NC,2022-01-29 02:22:02,-20.35,164.4333,86.95,64,93,13.73
89,Northam,GB,2022-01-29 02:22:02,51.0333,-4.2167,50.41,98,100,17.43
90,Boueni,YT,2022-01-29 02:22:02,-12.9025,45.0761,78.78,68,100,3.27
91,New Norfolk,AU,2022-01-29 02:22:03,-42.7826,147.0587,67.91,58,100,1.01
92,Nikolskoye,RU,2022-01-29 02:22:03,59.7035,30.7861,24.69,95,100,6.62
