City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
59,Buraydah,26.326,43.975,48.47,39,0,14.38,SA,2022-01-30 01:22:00,clear sky
60,Birao,10.2849,22.7882,62.38,18,80,6.76,CF,2022-01-30 01:25:38,broken clouds
61,Vardo,70.3705,31.1107,22.71,79,96,1.77,NO,2022-01-30 01:13:48,overcast clouds
62,Touros,-5.1989,-35.4608,76.1,82,98,10.71,BR,2022-01-30 01:25:38,overcast clouds
63,Kununurra,-15.7667,128.7333,85.98,74,100,13.8,AU,2022-01-30 01:15:30,overcast clouds
64,Georgetown,5.4112,100.3354,82.33,86,20,4.61,MY,2022-01-30 01:20:09,haze
65,San Lawrenz,36.0553,14.204,50.86,52,4,7.0,MT,2022-01-30 01:25:39,clear sky
66,Cabo San Lucas,22.8909,-109.9124,75.51,47,20,1.99,MX,2022-01-30 01:25:39,few clouds
67,Tuktoyaktuk,69.4541,-133.0374,-5.8,84,75,14.97,CA,2022-01-30 01:24:50,light snow
68,Laguna,38.421,-121.4238,60.66,49,0,1.01,US,2022-01-30 01:25:39,clear sky
69,Nemuro,43.3236,145.575,19.83,58,0,19.15,JP,2022-01-30 01:18:15,clear sky
70,Norman Wells,65.282,-126.8329,-27.36,75,75,3.44,CA,2022-01-30 01:16:12,broken clouds
71,Hilo,19.7297,-155.09,76.8,69,0,7.0,US,2022-01-30 01:21:04,clear sky
72,Paamiut,61.994,-49.6678,14.14,69,100,15.28,GL,2022-01-30 01:25:40,light snow
73,Calvinia,-31.4707,19.776,77.56,25,1,6.06,ZA,2022-01-30 01:25:40,clear sky
74,Valley,45.1277,-116.1262,13.77,66,14,3.56,US,2022-01-30 01:16:34,few clouds
75,Pontes E Lacerda,-15.2261,-59.3353,71.8,98,100,1.79,BR,2022-01-30 01:25:41,light rain
76,Port Alfred,-33.5906,26.891,68.45,87,11,8.03,ZA,2022-01-30 01:24:32,few clouds
77,Montelibano,7.9829,-75.4229,75.33,85,20,8.14,CO,2022-01-30 01:25:41,few clouds
78,Hermanus,-34.4187,19.2345,65.8,83,1,10.89,ZA,2022-01-30 01:24:26,clear sky
79,Iqaluit,63.7506,-68.5145,-13.27,69,100,5.99,CA,2022-01-30 01:24:46,light snow
80,Morelia,19.7008,-101.1844,65.34,76,98,3.2,MX,2022-01-30 01:21:56,overcast clouds
81,Barrow,71.2906,-156.7887,-9.38,70,0,10.36,US,2022-01-30 01:24:31,clear sky
82,Tuatapere,-46.1333,167.6833,61.56,83,100,4.76,NZ,2022-01-30 01:25:42,overcast clouds
83,Gobabis,-22.45,18.9667,68.18,77,18,11.92,NA,2022-01-30 01:25:42,light rain
84,Kailua,21.4022,-157.7394,80.15,63,0,10.36,US,2022-01-30 01:18:39,clear sky
85,Zonguldak,41.25,31.8333,25.88,92,95,4.5,TR,2022-01-30 01:25:43,overcast clouds
86,Port Lincoln,-34.7333,135.8667,70.88,73,9,13.89,AU,2022-01-30 01:22:17,clear sky
87,Chokurdakh,70.6333,147.9167,-12.35,87,98,1.36,RU,2022-01-30 01:15:45,overcast clouds
88,New Norfolk,-42.7826,147.0587,76.66,37,0,1.99,AU,2022-01-30 01:25:10,clear sky
89,Evanston,42.0411,-87.6901,22.33,64,100,1.01,US,2022-01-30 01:22:47,overcast clouds
90,Atuona,-9.8,-139.0333,77.77,79,22,12.01,PF,2022-01-30 01:24:39,light rain
91,Vanavara,60.34,102.2797,-3.32,99,100,3.22,RU,2022-01-30 01:19:00,overcast clouds
92,Marawi,7.9986,124.2928,73.65,79,67,1.1,PH,2022-01-30 01:17:54,broken clouds
93,Vao,-22.6667,167.4833,79.72,87,15,20.22,NC,2022-01-30 01:25:44,few clouds
94,De-Kastri,51.4667,140.7833,-6.29,91,24,8.19,RU,2022-01-30 01:25:44,few clouds
95,Russell,32.3502,-85.1999,37.0,53,0,0.0,US,2022-01-30 01:25:44,clear sky
96,Taltal,-25.4,-70.4833,66.36,77,7,3.87,CL,2022-01-30 01:25:44,clear sky
97,Narsaq,60.9167,-46.05,12.42,94,100,12.17,GL,2022-01-30 01:16:17,light snow
98,Tenabo,20.05,-90.2333,68.0,52,0,7.29,MX,2022-01-30 01:25:45,clear sky
99,Vaini,-21.2,-175.2,81.77,76,100,11.88,TO,2022-01-30 01:24:52,light rain
100,Porto Belo,-27.1578,-48.5531,75.16,79,100,9.1,BR,2022-01-30 01:25:45,overcast clouds
101,Tombouctou,20.0,-3.0,71.08,11,100,13.24,ML,2022-01-30 01:25:46,overcast clouds
102,College,64.8569,-147.8028,-6.14,73,20,0.0,US,2022-01-30 01:25:46,few clouds
103,Victoria,22.2855,114.1577,56.17,80,51,1.99,HK,2022-01-30 01:13:36,broken clouds
104,Opuwo,-18.0607,13.84,66.4,48,100,5.64,NA,2022-01-30 01:21:20,overcast clouds
105,Tilichiki,60.4667,166.1,10.45,79,20,15.12,RU,2022-01-30 01:17:22,few clouds
106,Lixourion,38.2019,20.4314,46.24,65,0,13.09,GR,2022-01-30 01:25:46,clear sky
107,Hithadhoo,-0.6,73.0833,80.76,68,78,2.55,MV,2022-01-30 01:25:11,broken clouds
108,Tezu,27.9167,96.1667,50.05,50,0,3.47,IN,2022-01-30 01:25:47,clear sky
109,Rocha,-34.4833,-54.3333,64.04,84,2,8.61,UY,2022-01-30 01:16:45,clear sky
110,San Quintin,30.4833,-115.95,61.97,50,0,7.65,MX,2022-01-30 01:16:20,clear sky
111,Khatanga,71.9667,102.5,-6.61,97,97,8.03,RU,2022-01-30 01:12:01,overcast clouds
112,Makhinjauri,41.6739,41.694,37.26,65,100,13.8,GE,2022-01-30 01:25:47,overcast clouds
113,Cape Town,-33.9258,18.4232,70.21,69,0,5.01,ZA,2022-01-30 01:22:30,clear sky
114,Dikson,73.5069,80.5464,7.61,94,100,18.97,RU,2022-01-30 01:25:03,light snow
115,Caraballeda,10.6112,-66.8522,82.47,69,20,0.0,VE,2022-01-30 01:25:48,few clouds
116,Dingzhou,38.5131,114.9956,23.11,60,12,1.79,CN,2022-01-30 01:25:48,few clouds
117,Bredasdorp,-34.5322,20.0403,65.28,94,5,3.44,ZA,2022-01-30 01:24:30,clear sky
118,Tiksi,71.6872,128.8694,-9.56,98,51,4.34,RU,2022-01-30 01:13:06,broken clouds
119,Bayanday,53.0661,105.5139,-21.55,100,100,1.83,RU,2022-01-30 01:21:29,overcast clouds
120,Constantine,36.365,6.6147,33.21,80,0,0.0,DZ,2022-01-30 01:25:49,clear sky
121,Airai,-8.9266,125.4092,66.16,80,100,4.38,TL,2022-01-30 01:25:49,overcast clouds
122,Kaliua,-5.0606,31.7936,66.22,89,100,2.77,TZ,2022-01-30 01:18:49,overcast clouds
123,Grand Island,40.925,-98.342,46.02,23,0,11.5,US,2022-01-30 01:25:50,clear sky
124,Hobart,-42.8794,147.3294,77.02,52,20,1.01,AU,2022-01-30 01:23:44,few clouds
125,Khani,41.9563,42.9566,24.37,79,88,6.89,GE,2022-01-30 01:25:50,overcast clouds
126,Saldanha,-33.0117,17.9442,60.85,84,0,12.48,ZA,2022-01-30 01:15:51,clear sky
127,Souillac,-20.5167,57.5167,79.18,78,20,3.44,MU,2022-01-30 01:25:50,few clouds
128,Sitka,57.0531,-135.33,37.29,65,100,10.36,US,2022-01-30 01:16:57,overcast clouds
129,Yellowknife,62.456,-114.3525,-14.28,76,40,4.61,CA,2022-01-30 01:21:16,scattered clouds
130,Mangrol,21.1167,70.1167,63.86,37,0,9.04,IN,2022-01-30 01:25:51,clear sky
131,Melbu,68.5044,14.8297,30.31,64,100,1.59,NO,2022-01-30 01:25:51,overcast clouds
132,Cukai,4.25,103.4167,77.14,77,7,3.38,MY,2022-01-30 01:25:52,clear sky
133,Luanda,-8.8368,13.2343,78.8,83,40,8.05,AO,2022-01-30 01:25:52,scattered clouds
134,Lorengau,-2.0226,147.2712,84.6,71,31,7.54,PG,2022-01-30 01:25:52,scattered clouds
135,East London,-33.0153,27.9116,69.33,85,3,6.15,ZA,2022-01-30 01:23:29,clear sky
136,Talcahuano,-36.7167,-73.1167,62.28,77,100,6.91,CL,2022-01-30 01:25:53,overcast clouds
137,Punta Arenas,-53.15,-70.9167,50.11,57,0,16.11,CL,2022-01-30 01:24:37,clear sky
138,Salalah,17.0151,54.0924,68.09,68,0,2.3,OM,2022-01-30 01:25:53,clear sky
139,Vuktyl,63.8567,57.3094,13.15,94,100,7.14,RU,2022-01-30 01:25:53,overcast clouds
140,Issaquah,47.5301,-122.0326,50.23,63,100,1.01,US,2022-01-30 01:24:30,overcast clouds
141,Marzuq,14.4,46.4667,58.69,77,10,3.4,YE,2022-01-30 01:16:53,clear sky
